1	0	0	0
2	0	0	0
3	2	4	10
4	0	0	0
5	0	0	0
6	0	0	0
7	192	216	247
8	0	0	0
9	0	0	0
10	51	73	92
11	0	0	0
12	0	0	0
13	0	0	0
14	201	223	245
15	0	0	0
16	1	4	10
17	41	53	68
18	5	9	14
19	0	0	0
20	106	120	134
21	0	0	0
22	7	10	14
23	0	0	2
24	1	5	12
25	0	0	0
26	0	0	1
27	0	0	0
28	0	0	2
29	13	19	27
30	2	6	14
31	0	0	1
32	177	197	208
33	19	25	42
34	1	5	11
35	59	70	92
36	0	1	5
37	59	69	83
38	2	4	8
39	139	154	176
40	0	0	0
41	2	4	8
42	5	11	22
43	0	0	1
44	0	0	0
45	0	0	2
46	16	24	33
47	0	0	0
48	0	0	0
49	18	24	33
50	38	50	74
51	0	1	3
52	0	0	0
53	0	0	0
54	0	0	2
55	0	0	0
56	0	0	0
57	40	54	64
58	0	0	0
59	1	4	6
60	11	17	26
61	0	1	4
62	0	0	1
63	0	0	1
64	0	0	0
65	10	16	26
66	0	0	0
67	0	0	0
68	0	0	0
69	0	1	5
70	0	0	0
71	18	25	34
72	25	33	41
73	4	11	22
74	20	31	43
75	10	19	30
76	79	103	119
77	42	49	64
78	104	117	126
79	16	22	28
80	33	41	52
81	150	167	194
82	22	32	40
83	81	97	117
84	45	55	66
85	10	16	24
86	70	94	118
87	0	0	0
88	0	0	0
89	3	5	9
90	0	0	0
91	39	47	57
92	9	16	26
93	4	9	18
94	1	5	11
95	58	69	87
96	103	118	131
97	17	24	33
